index,canonical_name,mode,status,filename,size_bytes,source_url,source_page,note
173,"Desert Eagle ""Ace""",ADD_NEW,OK_DISCOVERED,desert_eagle_ace.webp,29654,https://ggstand.io/public/storage/items/1687977649c6e2b9679f9174d978957b5573e14b53.png,https://ggstand.io/ru/case/deagle,source=WEBP; alpha=86.3625%
174,"Desert Eagle ""Blood""",ADD_NEW,OK_DISCOVERED,desert_eagle_blood.webp,35268,https://ggstand.io/public/storage/items/1688080614719e74b8760cb93303c35eee58f01652.png,https://ggstand.io/ru/case/deagle,source=WEBP; alpha=85.0899%
175,"Desert Eagle ""Dust Devil""",ADD_NEW,OK_DISCOVERED,desert_eagle_dust_devil.webp,34114,https://ggstand.io/public/storage/items/16934047469bac6d25a181333e17282daa29fa1850.png,https://ggstand.io/ru/case/deagle,source=WEBP; alpha=89.3150%
176,"Desert Eagle ""Gambit""",ADD_NEW,OK_DISCOVERED,desert_eagle_gambit.webp,17500,https://ggstand.io/public/storage/items/174964839593309e8e9855b5b07da1f189c99dafe5.png,https://ggstand.io/ru/case/gambit,source=WEBP; alpha=79.0215%
177,"Desert Eagle ""Glory""",ADD_NEW,OK_KNOWN_OVERRIDE+DISCOVERED,desert_eagle_glory.webp,40260,https://skins4fps.com/images/standoff/desert-eagle-glory.png,https://ggstand.io/ru/case/deagle,source=PNG; alpha=78.5713%
178,"Desert Eagle ""Orochi""",ADD_NEW,OK_DISCOVERED,desert_eagle_orochi.webp,36708,https://ggstand.io/public/storage/items/168808075816f2f169f3a6ce67967c3e9b70f967aa.png,https://ggstand.io/ru/case/deagle,source=WEBP; alpha=87.5351%
179,"Desert Eagle ""Wildflower""",ADD_NEW,OK_DISCOVERED,desert_eagle_wildflower.webp,18700,https://ggstand.io/public/storage/items/1766142420290eb43cfe84f8eeb83842c1ccb7dfa1.png,https://ggstand.io/ru/case/deagle,source=WEBP; alpha=79.0642%
180,"Dual Daggers ""Jaws""",ADD_NEW,OK_DISCOVERED,dual_daggers_jaws.webp,22620,https://ggstand.com/public/storage/items/1779292660c8cd07f45f1e1b9811b482dbe6871718.png,https://ggstand.com/en/case/ezknife-m-st,source=WEBP; alpha=83.9500%
181,"F/S ""Enforcer""",ADD_NEW,OK_DISCOVERED,f_s_enforcer.webp,28264,https://ggstand.io/public/storage/items/1688081943e136ef6fb66b02684b0a00ad1a3f6dff.png,https://ggstand.io/ru/case/f-s,source=WEBP; alpha=89.2426%
182,"F/S ""Flashing Flame""",ADD_NEW,OK_DISCOVERED,f_s_flashing_flame.webp,14672,https://ggstand.com/public/storage/items/176614229344668dcd44965ffaddc91ff1eba08342.png,https://ggstand.com/en/case/rare,source=WEBP; alpha=80.3741%
183,"F/S ""Pink Shot""",ADD_NEW,OK_DISCOVERED,f_s_pink_shot.webp,20428,https://ggstand.io/public/storage/items/17353897433e82844aa33d20c9929289ea1a6740f9.png,https://ggstand.io/ru/case/f-s,source=WEBP; alpha=80.4893%
184,"F/S ""Zone""",ADD_NEW,OK_DISCOVERED,f_s_zone.webp,35484,https://ggstand.io/public/storage/items/1688081925620724db212fb58e82852d6cf77528a0.png,https://ggstand.io/ru/case/f-s,source=WEBP; alpha=83.9851%
185,"FabM ""BOOM""",ADD_NEW,OK_DISCOVERED,fabm_boom.webp,32954,https://ggstand.io/public/storage/items/1689704817581e7e95fbcdf7d9fe98bcac477b39dc.png,https://ggstand.io/ru/case/fabm,source=WEBP; alpha=82.4196%
186,"FabM ""Cranium""",ADD_NEW,OK_DISCOVERED,fabm_cranium.webp,29552,https://ggstand.io/public/storage/items/1689704816216f01463b8d03301df1fa2d42f38737.png,https://ggstand.io/ru/case/fabm,source=WEBP; alpha=82.4509%
187,"FabM ""Death Herald""",ADD_NEW,OK_DISCOVERED,fabm_death_herald.webp,22202,https://ggstand.io/public/storage/items/16897048155e2d5cbe592e1679117f4e123d027547.png,https://ggstand.io/ru/case/fabm,source=WEBP; alpha=82.5378%
188,"FabM ""Gangster""",ADD_NEW,OK_DISCOVERED,fabm_gangster.webp,29774,https://ggstand.io/public/storage/items/17252027483d31cecae211af978856b1853982739a.png,https://ggstand.io/ru/case/fabm,source=WEBP; alpha=88.3980%
189,"FabM ""Hercules""",ADD_NEW,OK_DISCOVERED,fabm_hercules.webp,28062,https://ggstand.io/public/storage/items/168969241666883ff392671b144913c6138f53e7ef.png,https://ggstand.io/ru/case/fabm,source=WEBP; alpha=89.2044%
190,"FabM ""Mayhem""",ADD_NEW,UNRESOLVED,,0,,,No exact weapon+skin image URL found for target FabM | Mayhem
191,"FabM ""Streak""",ADD_NEW,OK_DISCOVERED,fabm_streak.webp,22092,https://ggstand.io/public/storage/items/17448952154d2729bd8e4ebc1b997c2bcb81c25f7f.png,https://ggstand.io/ru/case/fabm,source=WEBP; alpha=81.7398%
192,"FabM ""Thief Of The Christmas""",ADD_NEW,OK_DISCOVERED,fabm_thief_of_the_christmas.webp,30712,https://ggstand.io/public/storage/items/1689704815865242c3fb36b604e4b039c8675554c8.png,https://ggstand.io/ru/case/fabm,source=WEBP; alpha=82.5165%
193,"FAMAS ""Beagle""",ADD_NEW,OK_DISCOVERED,famas_beagle.webp,43930,https://ggstand.io/public/storage/items/1688081468a2eac82024adca47cf576b38f8740f30.png,https://ggstand.io/ru/case/famas,source=WEBP; alpha=84.3285%
194,"FAMAS ""Feral""",ADD_NEW,OK_DISCOVERED,famas_feral.webp,28630,https://ggstand.io/public/storage/items/174282648860fc93aeed017368705c798f30b45ebe.png,https://ggstand.io/ru/case/famas,source=WEBP; alpha=77.7031%
195,"FAMAS ""Oxide""",ADD_NEW,OK_DISCOVERED,famas_oxide.webp,39676,https://ggstand.com/public/storage/items/1725201902f45d5d5fe59d401139fb79ccfdcd5c69.png,https://ggstand.com/en/case/rare,source=WEBP; alpha=86.3327%
196,"FAMAS ""Spline""",ADD_NEW,OK_DISCOVERED,famas_spline.webp,34464,https://ggstand.io/public/storage/items/1781609008a0a5620d329792ec329b5e3e8bc7bc58.png,https://ggstand.io/ru/case/famas,source=WEBP; alpha=77.8481%
197,"FN FAL ""Basilisk""",ADD_NEW,OK_DISCOVERED,fn_fal_basilisk.webp,23798,https://ggstand.io/public/storage/items/1689692441936002f84076747691705a4dca6e033d.png,https://ggstand.io/ru/case/fn-fal,source=WEBP; alpha=92.3462%
198,"FN FAL ""Charred Wood""",ADD_NEW,OK_DISCOVERED,fn_fal_charred_wood.webp,20030,https://ggstand.io/public/storage/items/17428259844bf5222f427a73ef965f1bcf7771579f.png,https://ggstand.io/ru/case/fn-fal,source=WEBP; alpha=82.2159%
199,"FN FAL ""Empyrean""",ADD_NEW,OK_DISCOVERED,fn_fal_empyrean.webp,19306,https://ggstand.io/public/storage/items/17661424305c77cb01ecdf0139a54414593c673ab1.png,https://ggstand.io/ru/case/fn-fal,source=WEBP; alpha=82.2266%
200,"FN FAL ""PRO""",ADD_NEW,OK_DISCOVERED,fn_fal_pro.webp,18250,https://ggstand.io/public/storage/items/1742827780acd35f54a78408c758ec5e5059d11e37.png,https://ggstand.io/ru/case/fn-fal,source=WEBP; alpha=82.1854%
201,"FN FAL ""Scaleskitter""",ADD_NEW,OK_DISCOVERED,fn_fal_scaleskitter.webp,25592,https://ggstand.io/public/storage/items/16934037489d28deb3890437b6a466c92e900d9c6c.png,https://ggstand.io/ru/case/fn-fal,source=WEBP; alpha=92.3462%
202,"G22 ""Adam""",ADD_NEW,UNRESOLVED,,0,,,No exact weapon+skin image URL found for target G22 | Adam; removed previously known-wrong cached image
203,"G22 ""Casual""",ADD_NEW,OK_DISCOVERED,g22_casual.webp,38232,https://ggstand.com/public/storage/items/1688127278c0916b1ddb884b0422979ea2918fed00.png,https://ggstand.com/en/case/legendary,source=WEBP; alpha=83.4160%
204,"G22 ""Pixel Camouflage""",ADD_NEW,OK_DISCOVERED,g22_pixel_camouflage.webp,17718,https://ggstand.com/public/storage/items/16897678390daf8c321c74613d867c4142f9cacca7.png,https://ggstand.com/en/case/origin,source=WEBP; alpha=93.2205%
205,"Graffiti ""Gold Skull"" Packed",ADD_NEW,UNRESOLVED,,0,,,No exact weapon+skin image URL found for target Graffiti | Gold Skull Packed
206,"jKommando ""Reaper""",ADD_NEW,OK_DISCOVERED,jkommando_reaper.webp,10102,https://ggstand.com/public/storage/items/1779291479d45de12437d4f31352e9d4f0b04173f0.png,https://ggstand.com/en/case/ezknife-m-st,source=WEBP; alpha=93.1625%
207,"Karambit ""Hologram""",ADD_NEW,UNRESOLVED,,0,,,No exact weapon+skin image URL found for target Karambit | Hologram
208,"Karambit ""Purple Camo""",ADD_NEW,OK_DISCOVERED,karambit_purple_camo.webp,13248,https://ggstand.com/public/storage/items/1771275086ae97ab67b2a1e4cd403f5c7143775c65.png,https://ggstand.com/en/case/ezknife-m-st,source=WEBP; alpha=87.8387%
209,"Kukri ""Divine Power""",ADD_NEW,OK_DISCOVERED,kukri_divine_power.webp,16464,https://ggstand.com/public/storage/items/17792925865a20b97e5d89be52db5436703bae3871.png,https://ggstand.com/en/case/ezknife-m-st,source=WEBP; alpha=87.9364%
210,"Kunai ""Glitch""",ADD_NEW,OK_DISCOVERED,kunai_glitch.webp,20494,https://ggstand.com/public/storage/items/1689691413eb86c8f6a61f70184dd498e3b98a6e13.png,https://ggstand.com/en/case/ezknife-m-st,source=WEBP; alpha=90.4045%
211,"M110 ""Grid""",ADD_NEW,OK_DISCOVERED,m110_grid.webp,32994,https://ggstand.io/public/storage/items/1742826262382b4afc246dfe79d0a6e9a197025600.png,https://ggstand.io/ru/case/m110,source=WEBP; alpha=73.2872%
212,"M110 ""Z-07 M.A.R.K.S.M.A.N.""",ADD_NEW,OK_DISCOVERED,m110_z_07_m_a_r_k_s_m_a_n.webp,36926,https://ggstand.io/public/storage/items/1688128464b765ab40f5a7c72a39b67baa0eeb7fc1.png,https://ggstand.io/ru/case/m110,source=WEBP; alpha=87.2787%
213,"M16 ""4 Years""",ADD_NEW,OK_DISCOVERED,m16_4_years.webp,31280,https://ggstand.io/public/storage/items/1688128035f958e02bed73b9a32ca755761d521ff5.png,https://ggstand.io/ru/case/m16,source=WEBP; alpha=88.5353%
214,"M16 ""Dust Devil""",ADD_NEW,OK_DISCOVERED,m16_dust_devil.webp,27268,https://ggstand.io/public/storage/items/169340037451ff71007ed9c777fab9989fdee6f0d1.png,https://ggstand.io/ru/case/m16,source=WEBP; alpha=92.0586%
215,"M16 ""Shogun Stripes""",ADD_NEW,OK_DISCOVERED,m16_shogun_stripes.webp,41942,https://ggstand.io/public/storage/items/16884061980dacbc51669414e8901941374fb753cd.png,https://ggstand.io/ru/case/m16,source=WEBP; alpha=85.2615%
